Name|Size|Speed|Pop|Minerals|Gas|Armor|HP|Shield|Ground Attack|G. DPS| Air Attack|A. DPS|Cooldown|Range|Attack Mod|Sight|Notes|Build Time|Abilities|Cargo|Bonus
SCV||2.81|1|50||0|45||5|||||M|||L,M|17|||
Marine||2.25|1|50||0|45||7|||||5|||L,B|25|||
Reaper||3.75|1|50|50|0|60||5|||||5|||L,B|45|||
Marauder||2.25|2|100|30|1|125||10-20|||||6|||A,B|30|||
Ghost||2.25|2|200|100|0|100||10-20|||||6|||B,P|40|||
Hellion||4.25|2|100||0|90||8-19|||||5|||L,M|30|||
Widow Mine||2.81|2|75|25|0|90||125+35 shield|||||5|||L,M|40|||
Siege Tank||2.25|2|150|125|1|160||15-50|||||7-13|||A,M|45|||
Hellbat||2.25|2|100||0|135||18-33|||||2|||L,B,M|30|||
Thor||1.88|6|300|200|1|400||6-33|||||7-10|||A,M,Ma|60|||
Medivac||4.25|2|100|100|1|150||0||||||||A,M|42|||
Viking||2.75|2|150|75|0|125||10-14|||||6-9|||A,M|42|||
Raven||2.25|2|100|200|1|140||0||||||||L,M|60|||
Banshee||2.75|2|150|100|0|140||13|||||6|||L,M|60|||
Battlecruiser||1.88|6|400|300|3|550||6-8|||||6|||A,M|90|||
